Codes Fédé,Fédérations françaises agréées en 2018,Obs,Ain,Aisne,Allier,Alpes-de-Haute-Provence,Hautes-Alpes,Alpes-Maritimes,Ardèche,Ardennes,Ariège,Aube,Aude,Aveyron,Bouches-du-Rhône,Calvados,Cantal,Charente,Charente-Maritime,Cher,Corrèze,Corse-du-Sud,Haute-Corse,Côte-d'Or,Côtes-d'Armor,Creuse,Dordogne,Doubs,Drôme,Eure,Eure-et-Loir,Finistère,Gard,Haute-Garonne,Gers,Gironde,Hérault,Ille-et-Vilaine,Indre,Indre-et-Loire,Isère,Jura,Landes,Loir-et-Cher,Loire,Haute-Loire,Loire-Atlantique,Loiret,Lot,Lot-et-Garonne,Lozère,Maine-et-Loire,Manche,Marne,Haute-Marne,Mayenne,Meurthe-et-Moselle,Meuse,Morbihan,Moselle,Nièvre,Nord,Oise,Orne,Pas-de-Calais,Puy-de-Dôme,Pyrénées-Atlantiques,Hautes-Pyrénées,Pyrénées-Orientales,Bas-Rhin,Haut-Rhin,Rhône,Haute-Saône,Saône-et-Loire,Sarthe,Savoie,Haute-Savoie,Paris,Seine-Maritime,Seine-et-Marne,Yvelines,Deux-Sèvres,Somme,Tarn,Tarn-et-Garonne,Var,Vaucluse,Vendée,Vienne,Haute-Vienne,Vosges,Yonne,Territoire de Belfort,Essonne,Hauts-de-Seine,Seine-Saint-Denis,Val-de-Marne,Val-d'Oise,Guadeloupe,Martinique,Guyane,La Réunion,Saint-Pierre-et-Miquelon,Mayotte,St Barthélémy,St Martin,Wallis et Futuna,Polynésie Française,Nouvelle Calédonie,Monaco,Autres,Non réparti par département et par région,TOTAL
Fédérations unisport olympiques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,FF de karaté et arts martiaux affinitaires,,33,32,26,13,14,124,20,19,9,17,18,17,182,50,5,21,38,22,18,15,14,32,30,8,23,50,33,60,28,40,58,105,12,110,90,57,13,46,91,13,18,18,44,23,84,43,11,18,4,45,23,37,8,18,54,15,52,64,12,156,72,15,66,52,35,20,41,65,70,130,13,22,37,42,34,184,96,157,143,16,28,14,10,108,35,24,25,27,20,20,5,128,97,79,84,108,33,37,16,130,1,8,0,1,2,12,21,3,0,106,4845
135,FF de la montagne et de l'escalade,,8,3,5,9,11,30,9,2,7,3,5,5,36,9,2,3,8,3,4,5,10,9,10,1,5,15,11,15,4,7,6,45,2,23,16,18,5,10,46,7,5,2,17,6,17,9,6,2,1,8,5,12,2,7,6,2,8,6,4,15,7,4,12,14,28,13,5,14,14,37,1,7,3,22,38,7,14,13,21,7,3,8,5,18,5,8,5,5,5,6,1,20,16,7,10,8,1,4,1,10,0,1,0,0,0,2,6,0,0,9,1017
136,FF de roller sports,,3,3,4,1,8,6,2,2,1,4,4,4,15,9,0,7,24,2,2,1,2,8,16,0,4,8,8,6,3,31,9,25,2,37,16,27,2,9,26,3,9,2,6,1,39,10,1,2,0,7,8,10,2,6,6,0,12,10,2,27,11,6,10,3,11,5,4,8,5,20,2,9,17,8,21,27,22,25,11,11,5,11,2,12,5,17,4,4,4,3,4,20,8,12,8,13,3,2,1,12,0,0,0,0,0,0,0,0,3,0,893
137,FF de surf,,0,0,1,0,0,3,0,0,0,0,0,0,5,3,0,0,7,0,1,0,0,0,5,1,1,1,0,0,0,21,0,1,0,23,3,6,0,2,0,0,38,0,0,0,5,1,0,1,0,0,3,0,0,1,0,0,10,0,0,2,0,1,1,0,33,0,1,0,0,1,0,0,0,1,5,0,1,0,0,0,1,0,0,9,0,14,0,0,0,0,0,0,3,0,0,0,7,3,0,7,0,0,1,2,0,0,6,0,0,0,242
138,FF de baseball et softball,,1,0,0,1,1,6,0,2,0,1,1,1,1,2,0,2,4,1,1,0,3,2,3,1,4,2,1,3,2,3,2,4,0,8,5,9,0,1,3,1,2,0,1,1,3,1,1,2,0,2,3,3,0,0,2,0,3,2,1,6,3,0,4,1,3,0,1,1,3,3,0,2,1,1,1,13,4,4,7,1,2,0,1,2,1,2,2,2,1,1,0,8,4,8,7,12,1,0,2,0,0,0,0,0,0,0,4,0,0,0,228
,Total fédérations unisport olympiques,,790,657,537,276,265,1063,441,407,268,381,469,431,1840,934,251,517,871,491,416,242,305,646,897,235,592,727,640,800,586,1236,870,1513,343,1852,1257,1463,420,798,1470,382,644,499,917,369,1631,903,292,503,161,1058,686,671,286,594,888,244,1157,1209,336,2489,1097,448,1474,956,840,373,581,1443,1005,1598,331,698,769,565,929,1233,1471,1599,1502,524,725,542,324,1233,634,955,615,571,524,501,168,1322,953,776,852,975,490,433,251,858,24,250,25,38,38,108,423,45,78,2850,81133
Fédérations unisport non olympiques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,FF d'aéromodélisme,,11,9,6,3,5,9,4,4,5,1,6,3,16,12,2,10,12,8,5,3,2,7,9,3,8,9,11,10,6,17,10,15,8,24,13,11,7,9,20,6,13,6,6,3,14,10,4,9,1,7,5,10,2,4,17,5,8,18,4,23,14,4,20,8,7,3,6,20,16,12,6,8,6,10,9,3,11,23,14,9,6,10,6,12,6,10,6,7,7,8,3,15,8,3,7,12,5,3,2,5,1,0,0,0,0,2,1,0,0,7,869
202,FF d'aéronautique ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,585
203,FF d'aérostation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,76
